"actor","co_actors"
"Brendan Carruthers","19"
"Debebe Eshetu","19"
"Charles Ingram","19"
"Emmaline Henry","19"
"Charles Holland","19"
"Debbie Smith","19"
"Charles Henry Smith","19"
"Hermono de Guzman","19"
"Darlene Cates","19"
"Andrea Lowe","19"
"Chikage Awashima","19"
"Countess Koulinskyi","19"
"Agnese Nano","19"
"Emmanuelle Laborit","19"
"Boubker Ait El Caid","19"
"Ashley Shelton","19"
"Darling Legitimus","19"
"Ashley Rose Orr","19"
"Charles Ferber","19"
"Alison Elliot","19"
"Jamie Taylor","19"
"Boti Ann Bliss","19"
"Ha Jeong-woo#73694","19"
"Danny Rivera","19"
"Jan Josef Liefers","19"
"Gio Petre","19"
"Boris Smorchkov","19"
"Danica Sheridan","19"
"Giorgio Libassi","19"
"Falconer Abraham","19"
"Diana Brooks","19"
"Alex Donnelley","19"
"Alan Abelew","19"
"Giovanna Bozzolo","19"
"Giovanna Litrico","19"
"Chuck Aspegren","19"
"Jan-Olof Strandberg","19"
"Chuck Aspergren","19"
"Cory Fry","19"
"Giovanni Litrico","19"
"Deanna Russo","19"
"Chuck Bail","19"
"Enzo Cannavale","19"
"Daisy Tahan","19"
"Ashley Hamilton","19"
"Gisela Hahn","19"
"Herbert 'Cowboy' Coward","19"
"Herbert Coward","19"
"Gisella Matthews","19"
"Donald Hewlett","19"
"Alfredo Ramalho","19"
"Donald Harron","19"
"George Toles","19"
"Jamie Alexis","19"
"Chuck Davis","19"
"Ellen Sandweiss","19"
"Chika Sakamoto","19"
"Donald Gee","19"
"Gunnar Sjöberg","19"
"Giulio Base","19"
"Billy DaMota","19"
"Damián Delgado","19"
"Andy Friberg","19"
"Barbara Anson","19"
"Fausta Avelli","19"
"Giuseppe Ianigro","19"
"Barbara Bergin","19"
"Dick York","19"
"Bonnie Morgan","19"
"Esme Creed-Miles","19"
"Giuseppe Sulfaro","19"
"Bonnie Leaders","19"
"Alexei Batalov","19"
"Darrin Dewitt Henson","19"
"Bill Hodgman","19"
"Dan Howard","19"
"Georges de Givray","19"
"Elmer Soderstrom","19"
"Anne Marvin","19"
"Georges Chamarat","19"
"Dale Robertson","19"
"Humphrey Kent","19"
"Fay Sappington","19"
"David Michie","19"
"Glen Hubich","19"
"Gunnel Broström","19"
"Eleonora Ruffo","19"
"Ernst Gunther","19"
"Clement Nicholas Smith","19"
"Claudio Scarchelli","19"
"Chao-jung Chen","19"
"Aneeta Kanwar","19"
"Bruce Howell","19"
"Darwin Haine","19"
"Felipe Cochofel","19"
"Hwang Jeong-Min","19"
"Ana Lorena","19"
"James Stivers","19"
"Cristy Thom","19"
"Brian Christensen","19"
"Dominique Vandenberg","19"
"Hyo-ju Park","19"
"Chandrashekhar Naidu","19"
"Femi Benussi","19"
"Chanda Sharma","19"
"Jason Anderson","19"
"Abdelkader Bara","19"
"Emma Gates","19"
"ad Pixote","19"
"Crystal Scales","19"
"Edward Kemp","19"
"Anthony Harvey","19"
"Dominique Frot","19"
"Anne Wiazemsky","19"
"Antoine Roshell","19"
"Edward Kelsey","19"
"Christine Belford","19"
"Bethany Joy Galeotti","19"
"Bibi Caspari","19"
"Dan Diament","19"
"Dominique Collandant","19"
"Dominique Colladant","19"
"Emani Sledge","19"
"James Parris","19"
"Henri Humbert","19"
"James Ogg","19"
"Edward Ivory","19"
"Bruno Zanin","19"
"Cui Ya Hi","19"
"Carlo Mazzacurati","19"
"Fernando Vona","19"
"Ali Nur","19"
"Christina Rotholz","19"
"Brian Gill","19"
"Ferruccio Brembilla","19"
"Carlos Alvarez","19"
"James Mather","19"
"Elisabete Piecho","19"
"Elisabete Silva","19"
"Amrit Patel","19"
"Cameron Crighton","19"
"Annemarie McEvoy","19"
"Barry Lowe","19"
"Arthur 'Bo' Agee","19"
"Arthur Agee","19"
"Jason Hughes","19"
"Cian McCormack","19"
"Barry Sigismondi","19"
"Clem Wilenchick","19"
"Anne Marie McEvoy","19"
"Fumio Watanabe","19"
"Bob McCord","19"
"Dorrit Kelton","19"
"Bart Binnema","19"
"Dave Wittenberg","19"
"Domingo Landicho","19"
"Dominador Robidillo","19"
"Basia Frydman","19"
"Ciccio Ingrassia","19"
"Basia Fydman","19"
"Bob Jyono","19"
"Domenico Pertica","19"
"Domenico Gennaro","19"
"Gordon Polk","19"
"Jack Cassidy","19"
"Iguandili Lopez","19"
"Helen Grace","19"
"Jacky Nercessian","19"
"Angelo Novi","19"
"Chelo Alonso","19"
"Gosia Dobrowolska","19"
"Angelo Pellegrino","19"
"Jacques Chailleux","19"
"Ilaria D'Elia","19"
"Floanne Ankah","19"
"Bob Goen","19"
"Conchita Airoldi","19"
"Grace Carney","19"
"Dankan","19"
"Emma Bird","19"
"Beatrice Bush","19"
"Bryce Johnson","19"
"Al Cliver","19"
"Beatrice Palme","19"
"Adele Daniele","19"
"Concetta Tomei","19"
"Florence Guerfy","19"
"Alki David","19"
"Gennaro Ombra","19"
"Erika Marozsan","19"
"Jason Pendergraft","19"
"Jason Pennycooke","19"
"Gracie Allen","19"
"Collin Chou","19"
"Arnaldo Junior","19"
"Eri Fuse","19"
"James Hackett","19"
"Carol  Marsh","19"
"Angie Phillips","19"
"Cedric Proust","19"
"Adan Jodorowsky","19"
"Choi Jung-Woo","19"
"Geneva Carr","19"
"Alec Medlock","19"
"Gene Ruffini","19"
"Elisa Morucci","19"
"Becky M.","19"
"Jack Danskin","19"
"General Fermon Judd Jr.","19"
"Gene Pingatore","19"
"Anthony Cross-Thomas","19"
"Eric Stone","19"
"Daniel Wilson","19"
"Armando Brancia","19"
"D.G. Johnson","19"
"Curtis Gates","19"
"Bobby Riha","19"
"Callum Blue","19"
"In-gi Jeong","19"
"Arlette Sauvage","19"
"In-gi Jung","19"
"Ed Ramey","19"
"Belinda Low","19"
"Adam Smith","19"
"Heidi Rook","19"
"D.J. Harder","19"
"David Blaine","19"
"Cécile Sanz de Alba","19"
"Jayut Kripilani","19"
"Frederick Culley","19"
"Heidi Brühl","19"
"Bembol Roco","19"
"James E. Myers","19"
"Adam Perrell","19"
"Ari Greenberg","19"
"Francesca Clifford","19"
"Chip Marks","19"
"Francesca Marciano","19"
"Aleksandr Fatyushin","19"
"Gayle Rogers","19"
"Anita Kanwar","19"
"Bruce Meyers","19"
"James Dickey","19"
"Eric Monte","19"
"Annie Galipeau","19"
"James Denton","19"
"David Sterry","19"
"Christiane Muller","19"
"Cherise Boothe","19"
"Colin McCormack","19"
"Alex Green","19"
"Aretha Mitchell","19"
"Javen Campbell","19"
"Dion Zamora","19"
"Adam M.","19"
"Franklin Dyall","19"
"Daniele Arena","19"
"Gregg Sulkin","19"
"Adam Levy","19"
"Gary Wolf","19"
"Bengal","19"
"Greg Klymkiw","19"
"Alice Lok Cahana","19"
"Anjaan","19"
"Friday","19"
"Anjanette Comer","19"
"Alyson MacLaren","19"
"Dinshaw Daji","19"
"Claire Monatte","19"
"Denzil Smith","19"
"Claire Monnatte","19"
"Bill Gleason","19"
"Irene Zisblatt","19"
"Irina Apeksimova","19"
"Irina Muravyeva","19"
"April Wood","19"
"Irina Muravyova","19"
"Daniel Rovai","19"
"Claire Nebout","19"
"David Callegatti","19"
"Christian Bujeau","19"
"Francis Huster","19"
"Frank Lipman","19"
"Alexander Brickel","19"
"Francis Seleck","19"
"Alexander Fatyushin","19"
"Adam Friberg","19"
"Jack Frey","19"
"Aoi Tada","19"
"Eric Freeman","19"
"Al Shearer","19"
"Anna Bonaiuto","19"
"Brigitte Zhendre-Laforest","19"
"Frederick Vroom","19"
"Ed Jackson","19"
"Earl Jolly Brown","19"
"Ben Newton","19"
"Christian Alers","19"
"Cho Deuk-je","19"
"Al Septien","19"
"Catherine Sola","19"
"Jay Evans","19"
"Franco Gula","19"
"Dana Min Goodman","19"
"James Bannon","19"
"Anna Gaylor","19"
"Britta Gartner","19"
"Greg Proops","19"
"Catherine MacNeal","19"
"Ben Whitehead","19"
"David Glyn-Jones","19"
"François Giroday","19"
"Elizabeth Kemp","19"
"David Cowan","19"
"Eric Chen","19"
"Dan Gilvezan","19"
"Emil Minty","19"
"Isabelle Wolfe","19"
"Alexander Wauthier","19"
"Danielle Shuman","19"
"Isabel Ruth","19"
"Antonio Sabato","19"
"Ha Sung-kwang","19"
"Claresie Mobley","19"
"António Reis","19"
"B.J. Arnau","19"
"Fred Vroom","19"
"Dilshad","19"
"Franco Magno","19"
"Hannah Jones","19"
"Antonio Neiwiller","19"
"Alexandra Delli Colli","19"
"Hannah Freiman","19"
"David Quane","19"
"Catherine Duport","19"
"Coco Marantha","19"
"David Downer","19"
"Jacque Gray","19"
"Catherine Chevallier","19"
"Jajang C. Noer","19"
"Deron McBee","19"
"Antonio David Lyons","19"
"Chino XL","19"
"Carnero","19"
"Achille Majerone","19"
"Case De Groot","19"
"Hansa Vithal","19"
"David Lucas","19"
"Harry Watson","19"
"Italo Spinelli","19"
"Antonio Casas","19"
"Antonio Casale","19"
"Ann Jyono","19"
"Bernardo Nacilla","19"
"Guido Martufi","19"
"Annazette Chase","19"
"Gail Harris","19"
"Catherine Allégret","19"
"Alexandre Rockwell","19"
"Ivana Trump","19"
"Ivana Turchetto","19"
"Desi Singh","19"
"Guillaume Romain","19"
"Bernd Eichinger","19"
"Gaetano Aronica","19"
"David E. Scarborough","19"
"Billy Slaughter","19"
"Anndi McAfee","19"
"J.D. Pardo","19"
"Guillio Base","19"
"Ivan Rassimov","19"
"Chotaro Togin","19"
"Diane Scapa","19"
"Jadeen Barbor","19"
"Billy Louviere","19"
"Chris Elwood","19"
"Dick Haynes","19"
"Gianluca Guarrera","19"
"Jean Cosmos","19"
"Giaovanna Bozzolo","19"
"Gianfilippo Carcano","19"
"Brandon McKay","19"
"Gianfilipo Carcano","19"
"Don Gallagher","19"
"Frank Redmond","19"
"Hitoshi Takagi","19"
"Brandon Merrill","19"
"Hitoshi Hirao","19"
"Fred Smoot","19"
"Augusta Merighi","19"
"Giancarlo Cobelli","19"
"Gigi Bermingham","19"
"Claude Ennis Starrett Jr.","19"
"Aidan Pendleton","19"
"Carrie Morgan","19"
"Holly Hindman","19"
"Brandon Sommers","19"
"Alfred Anthony","19"
"Dong-Kun Jang","19"
"Christopher Freeman","19"
"Holly Madison","19"
"Chris Eyre","19"
"Jean Bejote Njamba","19"
"Gertrude Sutton","19"
"Bill Basch","19"
"Dee Jay Daniels","19"
"Eve Karpf","19"
"Hong jae-sung","19"
"Dante Rino","19"
"Enzo Petito","19"
"Gilberto Idonea","19"
"Gabriella Di Luzio","19"
"Claude Farell","19"
"Cardinal Roger Mahony","19"
"Deborah Miller","19"
"Dante","19"
"Bill Barnes","19"
"Evelyn Lang","19"
"Evelyn Lear","19"
"Janet Sunderland","19"
"Claude Farere","19"
"Candice Rialson","19"
"Christopher Colombi Jr.","19"
"Charles Lavialle","19"
"Harmony Korine","19"
"Deirdre O'Kane","19"
"Dan Chambers","19"
"Eve Mauro","19"
"Fran Taylor","19"
"Dan Rivera Gonzalez","19"
"Donna Anderson","19"
"Ewa Aulin","19"
"Bradley Schachter","19"
"Jane De Groot","19"
"Elaine Shore","19"
"Gil Reyes","19"
"Awaovieyi Agie","19"
"Gérard Boucaron","19"
"Deborah Adair","19"
"Ezra Swerdlow","19"
"Janice Power","19"
"Christopher Brooks","19"
"Layne Tom Jr.","19"
"Rick Green","19"
"Joyce Easton","19"
"Lucija Serbedzija","19"
"Peter De Jersey","19"
"Marc Maidenberg","19"
"Mike Donlin","19"
"Mohamed Akhzam","19"
"Jeni Vici","19"
"Kim Parker","19"
"Patti Lee","19"
"Lee Bergere","19"
"Paul Francis","19"
"Jean-Paul Muel","19"
"Koo Bon-Wong","19"
"Olivia Poli","19"
"Robin Lamont","19"
"Laura Lee Norton","19"
"Joe Beattie","19"
"Raju Barnad","19"
"Robert Turano","19"
"Julian Arahanga","19"
"Mallick Bowens","19"
"Patrick Boylan","19"
"Michael Ebbin","19"
"Patrick Bordier","19"
"Paul Hebert","19"
"Reza Rahadian","19"
"Kim Sun-Young","19"
"Race Nelson","19"
"Ofra Haza","19"
"John Walmsley","19"
"Kiely Williams","19"
"Owen Benjamin","19"
"Mauro Marchetti","19"
"Mal Whiteley","19"
"Matt Bardock","19"
"Max Phipps","19"
"Leos Carax","19"
"Matilde Piana","19"
"Linda Burton","19"
"Mario Liberati","19"
"Maria Kalinina","19"
"Oh Woo-jung","19"
"Ridley Tsui","19"
"Raymond Brody","19"
"Michael Raffetto","19"
"Kim Yoon-seok","19"
"Karla Mosley","19"
"Monica Mikala","19"
"Maria Antonietta Beluzzi","19"
"Patrice Wymore","19"
"Jeffrey Smith","19"
"Justin Hogg","19"
"Lida Baarova","19"
"Oka Antara","19"
"Jean-Michel Kindt","19"
"Mario Leonardi","19"
"Kurt Schiegl","19"
"Jean Shepherd","19"
"John Medlan","19"
"Patricia Krest","19"
"Paul Ditchfield","19"
"Kathleen King","19"
"Patrick Moore","19"
"Mike Walker","19"
"Marco Paolini","19"
"Laura Soveral","19"
"Nicole Oppermann","19"
"Pat Mulligan","19"
"Paul Muller","19"
"Laurence Hanray","19"
"Ljubica Adzovic","19"
"Joel Agona","19"
"Mecki Heussen","19"
"Nicholas R. Oleson","19"
"Peter Viitanen","19"
"Mary Jane Carey","19"
"Molly Stanton","19"
"Richard Hoyt","19"
"Joao Perry","19"
"Raffaella Lebboroni","19"
"Mamaengaroa Kerr-Bell","19"
"Mario Jurado","19"
"Niclas Olund","19"
"Pietro Notarianni","19"
"Paul Simonon","19"
"Nelly Benedetti","19"
"Jessica Kirschner","19"
"Roland Petit","19"
"Masashi Ishibashi","19"
"Paul Wright","19"
"Ken Keener","19"
"Katya Gardner","19"
"Jeri Arredondo","19"
"Megan Pepin","19"
"Leelabhai","19"
"Lucy Harrison","19"
"Leonora Ruffo","19"
"Loni Love","19"
"Lucy Marlow","19"
"Russell Badger","19"
"Paunita Nichols","19"
"Oldrich Kaiser","19"
"Mary Gail Frawley O'Dea","19"
"Riwia Brown","19"
"Rossana San Marco","19"
"Mitsuru Fukikoshi","19"
"Michiyo Tanaka","19"
"Lucy Skeaping","19"
"Pavel Nový","19"
"Nada Fiorelli","19"
"Paul Cox","19"
"Mary Fogerty","19"
"Jessica Kate Meyer","19"
"Joe Bromley","19"
"Nicolas Cowan","19"
"Jean-Pierre Bernard","19"
"Marlin Horsey","19"
"Roddy Skeaping","19"
"Per Sjöstrand","19"
"Mark Ruel","19"
"Jill C. Klein","19"
"Rafael de Quevedo","19"
"Mark Egerton","19"
"Robert Darnell","19"
"Laura Burkett","19"
"Marlow Vella","19"
"Nick Rhodes","19"
"Joanie ""Chyna"" Laurer","19"
"Richard Turley","19"
"Nino Terzo","19"
"Lucinda Weist","19"
"Paul Cole","19"
"Rick Dorio","19"
"Peter Schommer","19"
"Liya Akhedzhakova","19"
"Robert Lavoie","19"
"Maureen O'Boyle","19"
"Joan Gerber","19"
"Rodney Charles","19"
"Livio Lorenzon","19"
"Nimrat Kaur","19"
"Mathias Muchus","19"
"Richard Hughes","19"
"Nancy Kyes","19"
"Mary Sheldon","19"
"Richard Shull","19"
"Joan Barry","19"
"Pierre Risch","19"
"Peter Atkin","19"
"Pierre Vial","19"
"Lauren Lorbeck","19"
"Jose Pinto","19"
"Johnny Ohkura","19"
"Mary Barclay","19"
"Kyôko Fukada","19"
"Margret Weivers","19"
"Junero Jennings","19"
"Michael Mailer","19"
"Kuei-Mei Yang","19"
"Kimberly Makkouk","19"
"Robyn Hilton","19"
"Luigi Rossi","19"
"Reinaldo Arenas","19"
"Melissa Charles","19"
"Mary Ann Haenel","19"
"Mark DeCarlo","19"
"Naotaka Hanai","19"
"Nando Orfei","19"
"Mario Berini","19"
"Michael McStay","19"
"John Kerr","19"
"Michael McVey","19"
"Mme. Harlaut","19"
"Melissa Fahn","19"
"Mário Barroso","19"
"Katsuo Tokashiki","19"
"Reiner Schoene","19"
"Lee Boswell","19"
"Jean-Noël Brouté","19"
"Jeffrey Garcia","19"
"Ross McCutcheon","19"
"Ollie Johnston","19"
"Richard O'Callaghan","19"
"Jean Hart","19"
"Molly Flanegin","19"
"Matt Sutherland","19"
"Marco Perrin","19"
"Pierre Issot","19"
"Melissa Stribling","19"
"Jordan Bond","19"
"Pupi Campo","19"
"Nicholas Braun","19"
"Patricia Weir","19"
"Ratna Pathak","19"
"Melita Morgan","19"
"Neda Arneric","19"
"Paule Emanuele","19"
"Nandi Luna Ramirez","19"
"Marco Misul","19"
"Josh Segal","19"
"J.J. Lemmon Jr.","19"
"Myles Ferguson","19"
"Mickey Thomas","19"
"Katherine Anderson","19"
"John Fedevich","19"
"Lisa Vanderpump","19"
"Joseph Griffin","19"
"Kristie Ducati","19"
"Mathew Brown","19"
"Roverto Sosa","19"
"Lewis Crone","19"
"Patsy Pease","19"
"Josiane Tanzilli","19"
"Katharine McPhee","19"
"Marin Kanter","19"
"Michael Wollet","19"
"Jonas Marlowe","19"
"Marnie Shelton","19"
"Joseph Scoren","19"
"Luís Lima Barreto","19"
"Lewis Arlt","19"
"Johnny Vasquez","19"
"Noble Lee Holderread Jr.","19"
"Neal Bhattacharya","19"
"Michael Mott","19"
"Jeff O'Toole","19"
"Marie Jyono","19"
"Peter Gumeny","19"
"Lady Tree","19"
"Mike Emperio","19"
"Roy Heard","19"
"Kate Sargeant","19"
"Michal Zebrowski","19"
"Kendal Cramer","19"
"Robert Joamie","19"
"Linda Hutchings","19"
"Ray Noble","19"
"Luis Robledo","19"
"Kim Gordon","19"
"Remy Thorne","19"
"Reva Rose","19"
"Moni Ovadia","19"
"Leith Clark","19"
"Mustapha Rachidi","19"
"Joe Tucker","19"
"Ramesh Deshavani","19"
"Noel Ferrier","19"
"Roger Drake","19"
"Jiang Wu","19"
"Nick Cowen","19"
"Jean Sylvere","19"
"Markus Knuefken","19"
"Kuulei de Clercq","19"
"Lorena Feijoo","19"
"Joel Lamangan","19"
"Kee-Yick Cheng","19"
"Lisa Michelson","19"
"Martin ""Mako"" Hindy","19"
"Jimmy Shaw","19"
"Kjell Nilsson","19"
"Mark Bolton","19"
"Kalle Stridbeck","19"
"Maisie Camilleri Preziosi","19"
"Michel Bramanti","19"
"Jesse Howell","19"
"Rick Macy","19"
"Norma Uatuhan","19"
"Jordi Caballero","19"
"Kyle McCulloch","19"
"Michael-Joel Stuart","19"
"Mary Shaw","19"
"Mitch Cox","19"
"Robert Horvath","19"
"Oli ""Power"" Grant","19"
"Machiko Washio","19"
"Nana Patekar","19"
"Rachel Simon","19"
"Joe Cobden","19"
"Noelle Rogers","19"
"Randall Deal","19"
"John Manly","19"
"Laura Hess","19"
"Roy Stewart","19"
"Leili Kramer","19"
"Josh McLaglen","19"
"Rob Halford","19"
"Matthew Brown","19"
"Predrag Lakovic","19"
"Michael Grimm","19"
"Penelope Branning","19"
"Keren Mor","19"
"Richard Dutcher","19"
"Kliment Dentchev","19"
"Lars Mikkelsen","19"
"Joe Spratt","19"
"Jongiorgi Enos","19"
"Nomi Sharron","19"
"Patricia Brandkamp","19"
"Penelope Windust","19"
"Lee Yeary","19"
"Mimi Aguglia","19"
"Jon Hall","19"
"Roberta Lena","19"
"Nathan Corddry","19"
"Lee Duncan","19"
"Robert Agri","19"
"Kerrie Keane","19"
"Jimmy Boyd","19"
"Matthew Wilder","19"
"Robert Esquivel","19"
"Judith Nelmes","19"
"Penny Balfour","19"
"Reynaldo Arenas","19"
"Jennifer Kendal","19"
"Julia Brown","19"
"Noni Lewis","19"
"Luther Bedford","19"
"Pilar López de Ayala","19"
"Nancy Sloan","19"
"Miguel Gutiérrez","19"
"Marie-Helene Breillat","19"
"Mary Maddox","19"
"Jennifer Howell","19"
"Praveen Paul","19"
"Martin Aylett","19"
"Jeff Johnson","19"
"Jim Meskimen","19"
"Michele Sakara","19"
"Maja Nipora","19"
"Lisa Brenner","19"
"Jennifer Harris","19"
"John Crowther","19"
"Pierre Segui","19"
"John Ford Coley","19"
"Ron Crawford","19"
"Joe Sikora","19"
"Nora Nicholson","19"
"John Fowler","19"
"Joie Chitwood","19"
"Joseph Kairau","19"
"Minoru Iizuka","19"
"Juni Dahr","19"
"Michael Parsons","19"
"Marjorie Heard","19"
"Mohanraj Babu","19"
"Maria Theresa Orsini","19"
"Kai Hernandez","19"
"Judith Jane Vallette","19"
"Robert English","19"
"Jim Hunter","19"
"Martha Adcock","19"
"Nameer El-Kadi","19"
"Phil M. Price","19"
"Júlia Buisel","19"
"Lionel Kane","19"
"Pippo Provvidenti","19"
"Jeff Gulka","19"
"Lynn 'Red' Williams","19"
"Min Kyung-Jin","19"
"Monsignor James Cain","19"
"Matthew A. Brown","19"
"Michael E. Rodgers","19"
"Rebeca Recio","19"
"Peter Kay","19"
"Juergen Becker","19"
"Kathrin Clare Ward","19"
"Michael Bowman","19"
"Noriko Hidaka","19"
"Maria Terranova","19"
"Micheline Larpin","19"
"John Topor","19"
"Margherita Pasquero","19"
"Jerry Snell","19"
"Oliver O'Grady","19"
"Marshall Ward","19"
"Julie Maddalena","19"
"Priscilla Alden","19"
"Lynn Red Williams","19"
"Roberto Rodrigo","19"
"Rinko Kikuchi","19"
"Marie Therese Chevallier","19"
"Katarzyna Figura","19"
"Kata Dobó","19"
"Maxime Giffard","19"
"Jung-woo Ha","19"
"Nakajima Akihiko","19"
"Juliet Berto","19"
"Jose Cascais","19"
"Richard Mehana","19"
"John Anthony Hayes","19"
"Natalya Vavilova","19"
"Jean Temerson","19"
"Oliver Ryan","19"
"Lyn Farleigh","19"
"Pat Wall","19"
"Rebekah Brandes","19"
"Monique Spaziani","19"
"Norma McClure","19"
"John Valentine","19"
"Monique Noel","19"
"Jerry North","19"
"Jyoti Dogra","19"
"Jennifer Baer","19"
"Lindsay Schoneweis","19"
"J. Hutchinson","19"
"Jho Jhenkins","19"
"Mabel Cavitt","19"
"Ony Uhiara","19"
"Rand Kingsley","19"
"John Gemberling","19"
"J. Richey Nash","19"
"Mitchell Cox","19"
"Nieve de Medina","19"
"Patty Lee","19"
"Nigel Cooper","19"
"Patty Johnson","19"
"Larry Riley","19"
"Line Noro","19"
"Rachel Corr","19"
"Roland Hedlund","19"
"Michael Hempel","19"
"Julia Rayner","19"
"Ko Nishimura","19"
"Marge Turner","19"
"Masahiko Ono","19"
"Julia Fragata","19"
"RJ Knoll","19"
"Michelle Leduc","19"
"Robert Foster","19"
"Kelli Shinfield","19"
"Marion Mack","19"
"Juan Perez","19"
"Trevor Byfield","19"
"William Sherwood","19"
"Shaukat Azmi","19"
"Teresa Toigo","19"
"Yuri Vasilyev","19"
"Tom Havelock","19"
"Trevor Moore","19"
"Wendell Brown","19"
"Sean MacDuff","19"
"Stephanie Yankwitt","19"
"The Mydolls","19"
"Tom Doyle","19"
"Scott Schwartz","19"
"Yolanda Gill","19"
"Simon Cadell","19"
"Yuko Murata","19"
"Steven Bernstein","19"
"Thadeus A. Thomas","19"
"William Shannon","19"
"Suzy Southam","19"
"Suvarchala Narayanan","19"
"Ruth Platt","19"
"Sarfuddin Quarrassi","19"
"Umberto Contarello","19"
"William Harris","19"
"Vickie Cos","19"
"Victor Uralsky","19"
"Yves-Marie Maurin","19"
"Yves Osmu","19"
"Tom Sadoski","19"
"Verity Dearsley","19"
"Tom Hunter","19"
"Timothy Arrington","19"
"Tim Hovey","19"
"Timothy Avery","19"
"Seiji Sakaguchi","19"
"Yelena Khanaeva","19"
"Steve J. Spears","19"
"Wendy Barrie","19"
"Takesh Singh","19"
"Tory the Sea Lion","19"
"Umberto DiGrazia","19"
"Shari Khademi","19"
"William Olds","19"
"Valerie Shusterov","19"
"Yi-Ding Wang","19"
"Sarah Wright","19"
"Valerie Bettencourt","19"
"Sally Norvell","19"
"Yun-seok Kim","19"
"Therese Dorny","19"
"Sean Joyce","19"
"Sabine Karsenti","19"
"Tasen Chou","19"
"Yuri Vasityer","19"
"Zelda Cleaver","19"
"Russ Marker","19"
"Tsuneo Serizawa","19"
"Sam Berry","19"
"Yeong-hie Seo","19"
"Tsutomu Isobe","19"
"Tyrone C. Wiggins","19"
"Victor Cowie","19"
"Sterling Brimley","19"
"Unshô Ishizuka","19"
"William Gates","19"
"Tom Nawn","19"
"Zizi Jeanmaire","19"
"Ryan Orion","19"
"Toshiyuki Amagasa","19"
"Vera Alentova","19"
"Sudha Chopra","19"
"Stellan Skarsgaard","19"
"Stephen Robbins","19"
"Zach Cregger","19"
"Trevor Galtress","19"
"Willi Thomczyk","19"
"Shannon Walker Williams","19"
"Ruth Kempf","19"
"Sebastiano Nardone","19"
"Toddy Walters","19"
"Tom Citera","19"
"Terry Fitt","19"
"Veronica Mosgrove","19"
"Teresa Madruga","19"
"Tony Kaye","19"
"Valentina Ushakova","19"
"Tommy Johnsson","19"
"Smith Wordes","19"
"Tom Lantos","19"
"White Jonah","19"
"Smitty Wordes","19"
"Sheeri Rappaport","19"
"Sheila Age","19"
"Yevgeny Lazarev","19"
"Wiki Oman","19"
"Sonny Tufts","19"
"Stellan Skargard","19"
"Wladimir Weigl","19"
"Tyron Ricketts","19"
"Siegfried Wallach","19"
"Sheila Agee","19"
"Tyson Ritter","19"
"Tanjareen Martin","19"
"Tim Faraday","19"
"Yoo-jung Kim","19"
"Vince Rimmer","19"
"Walter Kraus","19"
"Tommy Nelson","19"
"Tom Farrelly","19"
"Stu Silver","19"
"Tiffany Dupont","19"
"Vernon Lehmann","19"
"Walter Micklethwait","19"
"Vince Welnick","19"
"Rusty Stevens","19"
"Ruth Dunning","19"
"Ruy de Carvalho","19"
"Sarah Neville","19"
"Willa Pearl Curtis","19"
"Sadie French","19"
"Sandro Scarchelli","19"
"Seu Jorge","19"
"Seo Yeong-heui","19"
"Sofia Alves","19"
"Victor Sjöström","19"
"Tom O'Sullivan","19"
"Said Tarchani","19"
"Tom Rolfing","19"
"Steve Harmon","19"
"Wolfgang Puck","19"
"Song Kang-ho","19"
"Tayva Patch","19"
"Takahito Iguchi","19"
"Sister Marlyn Hopewell","19"
"Stan Bryant","19"
"Thomas Drewson","19"
"Sue Carson","19"
"Steve Kahan","19"
"Wayne Brady","19"
"Thomas Doyle","19"
"Silvana Bacci","19"
"Shafiq Syed","19"
"Vincent Ebrahim","19"
"Wendy Gardiner","19"
"Tom Wilkenson#83933","19"
"Russell Livingstone","19"
"Tommy Citera","19"
"Yoo Ji-yeon","19"
"Vaughn Taylor","19"
"Shigesato Itoi","19"
"Yo-sep Song","19"
"Sandra Brown","19"
"Taylor Molloy","19"
"Samantha Weyson","19"
"Tara Boreyko","19"
"Susan Hampshire","19"
"The Hermitt","19"
"Sarfuddin Qurrassi","19"
"Tarla Mehta","19"
"Tim Green","19"
"Zoya Fedorova","19"
"Zakir Hussain","19"
"Sharon Menzel","19"
"Tracy Scoggins","19"
"Viva Auder","19"
"Talitha Pol","19"
"Vira Silenti","19"
"Yasmin Bannerman","19"
"Tika Putri","19"
"Salvatore Cascio","19"
"Shinobu Tsuruta","19"
"Tony Szeto","19"
"Stuart Ferguson","19"
"Ted Otis","19"
"Tyler Thompson","19"
"Tom Farrell","19"
"Susan Morgan","19"
"Serena Gordon","19"
"Tania Cruz","19"
"Warren J. Kemmerling","19"
"William Vanderpuye","19"
"Stacey Linn Ramsower","18"
"Stefan Clapczynski","18"
"Tom Bowman","18"
"Yuttana Muenwaja","18"
"Srdjan Soric","18"
"Torsten Wahlund","18"
"Walter Johnson","18"
"Shimane Mpepela","18"
"Sylvie Simon","18"
"Toby Young","18"
"Tracy Kimme","18"
"Sally Eilers","18"
"Shamus Murphy","18"
"Stephanie Lagarde","18"
"Sandy Ninja","18"
"Stephano Auberghen","18"
"Simon Baker-Denny","18"
"Taro Suwa","18"
"Walt Becker","18"
"Wolf Christian","18"
"Stephanie Hill","18"
"Tom Carroll","18"
